source	query_id	method	half	ndcg@10	ndcg@100
real_295	3552	bge_m3_hybrid	superior	1.0	1.0
real_295	3553	bm25	superior	1.0	1.0
real_295	3553	e5	superior	1.0	1.0
real_295	3553	e5_hybrid	superior	1.0	1.0
real_295	3553	bge_m3_hybrid	superior	1.0	1.0
real_295	3585	bm25	inferior	0.31546487678572877	0.31546487678572877
real_295	3585	e5	inferior	0.43067655807339306	0.43067655807339306
real_295	3585	e5_hybrid	inferior	0.43067655807339306	0.43067655807339306
real_295	3585	bge_m3_hybrid	inferior	0.43067655807339306	0.43067655807339306
real_295	3613	bm25	inferior	0.5	0.5
real_295	3613	e5	inferior	0.5	0.5
real_295	3613	e5_hybrid	inferior	0.5	0.5
real_295	3613	bge_m3_hybrid	inferior	0.5	0.5
real_295	3614	bm25	inferior	0.5	0.5
real_295	3614	e5	inferior	0.5	0.5
real_295	3614	e5_hybrid	inferior	0.5	0.5
real_295	3614	bge_m3_hybrid	inferior	0.5	0.5
real_295	3632	bm25	superior	1.0	1.0
real_295	3632	e5	superior	1.0	1.0
real_295	3632	e5_hybrid	superior	1.0	1.0
real_295	3632	bge_m3_hybrid	superior	1.0	1.0
real_295	3633	bm25	superior	1.0	1.0
real_295	3633	e5	superior	1.0	1.0
real_295	3633	e5_hybrid	superior	1.0	1.0
real_295	3633	bge_m3_hybrid	superior	1.0	1.0
real_295	3646	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	3646	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	3646	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	3646	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	4015	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	4015	e5	superior	0.6309297535714575	0.6309297535714575
real_295	4015	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	4015	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	4033	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	4033	e5	superior	0.6309297535714575	0.6309297535714575
real_295	4033	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	4033	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	4108	bm25	superior	1.0	1.0
real_295	4108	e5	superior	1.0	1.0
real_295	4108	e5_hybrid	superior	1.0	1.0
real_295	4108	bge_m3_hybrid	superior	1.0	1.0
real_295	4124	bm25	inferior	0.38685280723454163	0.38685280723454163
real_295	4124	e5	inferior	0.0	0.2559580248098155
real_295	4124	e5_hybrid	inferior	0.2890648263178879	0.2890648263178879
real_295	4124	bge_m3_hybrid	inferior	0.2890648263178879	0.2890648263178879
real_295	4126	bm25	inferior	0.38685280723454163	0.38685280723454163
real_295	4126	e5	inferior	0.0	0.2559580248098155
real_295	4126	e5_hybrid	inferior	0.3010299956639812	0.3010299956639812
real_295	4126	bge_m3_hybrid	inferior	0.2890648263178879	0.2890648263178879
real_295	4146	bm25	inferior	0.2890648263178879	0.2890648263178879
real_295	4146	e5	inferior	0.0	0.26264953503719357
real_295	4146	e5_hybrid	inferior	0.0	0.27023815442731974
real_295	4146	bge_m3_hybrid	inferior	0.0	0.27894294565112987
real_295	4147	bm25	inferior	0.2890648263178879	0.2890648263178879
real_295	4147	e5	inferior	0.0	0.27023815442731974
real_295	4147	e5_hybrid	inferior	0.0	0.27023815442731974
real_295	4147	bge_m3_hybrid	inferior	0.0	0.27894294565112987
real_295	4148	bm25	inferior	0.0	0.27894294565112987
real_295	4148	e5	inferior	0.0	0.2559580248098155
real_295	4148	e5_hybrid	inferior	0.0	0.27023815442731974
real_295	4148	bge_m3_hybrid	inferior	0.0	0.27023815442731974
real_295	4149	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	4149	e5	superior	0.6309297535714575	0.6309297535714575
real_295	4149	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	4149	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	4150	bm25	inferior	0.2640681225725909	0.4084084369553121
real_295	4150	e5	inferior	0.20438239758848611	0.3462512994544803
real_295	4150	e5_hybrid	inferior	0.23719771276929622	0.3842380534357064
real_295	4150	bge_m3_hybrid	inferior	0.2640681225725909	0.40156259388658816
real_295	4151	bm25	inferior	0.0	0.21274605355336318
real_295	4151	e5	inferior	0.0	0.2103099178571525
real_295	4151	e5_hybrid	inferior	0.0	0.2103099178571525
real_295	4151	bge_m3_hybrid	inferior	0.0	0.22106472945750374
real_295	4152	bm25	inferior	0.0	0.26114558946198824
real_295	4152	e5	inferior	0.0	0.2552802499582643
real_295	4152	e5_hybrid	inferior	0.0	0.2552802499582643
real_295	4152	bge_m3_hybrid	inferior	0.0	0.26114558946198824
real_295	4155	bm25	inferior	0.0	0.21533827903669653
real_295	4155	e5	inferior	0.0	0.20801459767650948
real_295	4155	e5_hybrid	inferior	0.0	0.20801459767650948
real_295	4155	bge_m3_hybrid	inferior	0.0	0.23540891336663824
real_295	4160	bm25	inferior	0.5	0.5
real_295	4160	e5	inferior	0.5	0.5
real_295	4160	e5_hybrid	inferior	0.43067655807339306	0.43067655807339306
real_295	4160	bge_m3_hybrid	inferior	0.43067655807339306	0.43067655807339306
real_295	4196	bm25	inferior	1.0	1.0
real_295	4196	e5	inferior	1.0	1.0
real_295	4196	e5_hybrid	inferior	1.0	1.0
real_295	4196	bge_m3_hybrid	inferior	1.0	1.0
real_295	4226	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	4226	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	4226	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	4226	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	4246	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	4246	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	4246	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	4246	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	4310	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	4310	e5	superior	0.5	0.5
real_295	4310	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	4310	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	4374	bm25	inferior	0.5	0.5
real_295	4374	e5	inferior	0.5	0.5
real_295	4374	e5_hybrid	inferior	0.5	0.5
real_295	4374	bge_m3_hybrid	inferior	0.5	0.5
real_295	4478	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	4478	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	4478	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	4478	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	4488	bm25	inferior	1.0	1.0
real_295	4488	e5	inferior	1.0	1.0
real_295	4488	e5_hybrid	inferior	1.0	1.0
real_295	4488	bge_m3_hybrid	inferior	1.0	1.0
real_295	4619	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	4619	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	4619	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	4619	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	4856	bm25	inferior	1.0	1.0
real_295	4856	e5	inferior	1.0	1.0
real_295	4856	e5_hybrid	inferior	1.0	1.0
real_295	4856	bge_m3_hybrid	inferior	1.0	1.0
real_295	4888	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	4888	e5	superior	0.5	0.5
real_295	4888	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	4888	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	4903	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	4903	e5	superior	0.2890648263178879	0.2890648263178879
real_295	4903	e5_hybrid	superior	0.3562071871080222	0.3562071871080222
real_295	4903	bge_m3_hybrid	superior	0.3562071871080222	0.3562071871080222
real_295	4970	bm25	inferior	0.3010299956639812	0.3010299956639812
real_295	4970	e5	inferior	0.0	0.26264953503719357
real_295	4970	e5_hybrid	inferior	0.3010299956639812	0.3010299956639812
real_295	4970	bge_m3_hybrid	inferior	0.38685280723454163	0.38685280723454163
real_295	4977	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	4977	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	4977	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	4977	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	4984	bm25	inferior	0.5012658353418871	0.5012658353418871
real_295	4984	e5	inferior	0.45560514958746035	0.45560514958746035
real_295	4984	e5_hybrid	inferior	0.5012658353418871	0.5012658353418871
real_295	4984	bge_m3_hybrid	inferior	0.5012658353418871	0.5012658353418871
real_295	5018	bm25	inferior	0.43067655807339306	0.43067655807339306
real_295	5018	e5	inferior	0.5	0.5
real_295	5018	e5_hybrid	inferior	0.43067655807339306	0.43067655807339306
real_295	5018	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	5019	bm25	inferior	0.3562071871080222	0.3562071871080222
real_295	5019	e5	inferior	0.5	0.5
real_295	5019	e5_hybrid	inferior	0.43067655807339306	0.43067655807339306
real_295	5019	bge_m3_hybrid	inferior	0.43067655807339306	0.43067655807339306
real_295	5020	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	5020	e5	inferior	0.5	0.5
real_295	5020	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	5020	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	5022	bm25	inferior	0.5	0.5
real_295	5022	e5	inferior	0.5	0.5
real_295	5022	e5_hybrid	inferior	0.5	0.5
real_295	5022	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	5025	bm25	inferior	0.38685280723454163	0.38685280723454163
real_295	5025	e5	inferior	0.38685280723454163	0.38685280723454163
real_295	5025	e5_hybrid	inferior	0.38685280723454163	0.38685280723454163
real_295	5025	bge_m3_hybrid	inferior	0.43067655807339306	0.43067655807339306
real_295	5026	bm25	inferior	0.43067655807339306	0.43067655807339306
real_295	5026	e5	inferior	0.5	0.5
