method;half;recall;precision_interpolated
bm25;inferior;0.2711864406779661;0.22238805970149253
bm25;inferior;0.2749529190207156;0.22238805970149253
bm25;inferior;0.2787193973634652;0.22238805970149253
bm25;inferior;0.2806026365348399;0.22238805970149253
bm25;inferior;0.2824858757062147;0.22058823529411764
bm25;inferior;0.2862523540489642;0.21902017291066284
bm25;inferior;0.2900188323917137;0.2175141242937853
bm25;inferior;0.2919020715630885;0.21203830369357046
bm25;inferior;0.2937853107344633;0.20466321243523317
bm25;inferior;0.295668549905838;0.20466321243523317
bm25;inferior;0.2975517890772128;0.20466321243523317
bm25;inferior;0.2994350282485876;0.20278833967046894
bm25;inferior;0.3013182674199623;0.20278833967046894
bm25;inferior;0.3032015065913371;0.19885057471264367
bm25;inferior;0.3126177024482109;0.19885057471264367
bm25;inferior;0.3145009416195857;0.19885057471264367
bm25;inferior;0.3163841807909605;0.19885057471264367
bm25;inferior;0.3182674199623352;0.19885057471264367
bm25;inferior;0.3220338983050847;0.19885057471264367
bm25;inferior;0.3239171374764595;0.19885057471264367
bm25;inferior;0.3258003766478343;0.19885057471264367
bm25;inferior;0.3314500941619586;0.1918238993710692
bm25;inferior;0.3370998116760829;0.1918238993710692
bm25;inferior;0.3408662900188324;0.1918238993710692
bm25;inferior;0.3446327683615819;0.1918238993710692
bm25;inferior;0.3465160075329567;0.19127988748241911
bm25;inferior;0.3483992467043315;0.19127988748241911
bm25;inferior;0.3502824858757062;0.19127988748241911
bm25;inferior;0.352165725047081;0.19127988748241911
bm25;inferior;0.35969868173258;0.19127988748241911
bm25;inferior;0.3615819209039548;0.19127988748241911
bm25;inferior;0.3634651600753296;0.19127988748241911
bm25;inferior;0.3653483992467043;0.19127988748241911
bm25;inferior;0.3672316384180791;0.19127988748241911
bm25;inferior;0.3691148775894539;0.19127988748241911
bm25;inferior;0.3709981167608286;0.19127988748241911
bm25;inferior;0.3728813559322034;0.19127988748241911
bm25;inferior;0.3766478342749529;0.19127988748241911
bm25;inferior;0.3804143126177024;0.19127988748241911
bm25;inferior;0.3822975517890772;0.19127988748241911
bm25;inferior;0.384180790960452;0.19127988748241911
bm25;inferior;0.3860640301318267;0.19127988748241911
bm25;inferior;0.3879472693032015;0.19127988748241911
bm25;inferior;0.391713747645951;0.19127988748241911
bm25;inferior;0.3935969868173258;0.19127988748241911
bm25;inferior;0.3954802259887006;0.19127988748241911
bm25;inferior;0.3973634651600753;0.19127988748241911
bm25;inferior;0.4011299435028249;0.19127988748241911
bm25;inferior;0.4030131826741996;0.19127988748241911
bm25;inferior;0.4048964218455744;0.19127988748241911
bm25;inferior;0.4067796610169492;0.19127988748241911
bm25;inferior;0.4105461393596987;0.19127988748241911
bm25;inferior;0.4124293785310734;0.19127988748241911
bm25;inferior;0.4180790960451977;0.19127988748241911
bm25;inferior;0.4218455743879473;0.19127988748241911
bm25;inferior;0.423728813559322;0.19127988748241911
bm25;inferior;0.4256120527306968;0.19127988748241911
bm25;inferior;0.4274952919020716;0.19127988748241911
