source	query_id	target_id	jaccard
real_295	6161	126868	0.5
real_295	4196	126868	0.5
real_295	6162	126869	0.42857142857142855
real_295	6163	126870	0.5
real_295	4226	126870	0.25
real_295	6164	126871	0.3333333333333333
real_295	6165	126872	0.8095238095238095
real_295	4310	126872	0.8095238095238095
real_295	35436	126872	0.6521739130434783
real_295	6166	126873	0.6923076923076923
real_295	4478	126873	0.6923076923076923
real_295	4488	126874	0.6666666666666666
real_295	6174	126874	0.6666666666666666
real_295	4488	126874	0.6666666666666666
real_295	6175	126875	0.7142857142857143
real_295	4619	126875	0.7142857142857143
real_295	35561	126875	0.7142857142857143
real_295	6176	126876	0.7647058823529411
real_295	48269	126876	0.35
real_295	4856	126877	0.6
real_295	6177	126877	0.6
real_295	10240	126877	0.3
real_295	4856	126877	0.6
real_295	6178	126878	0.6923076923076923
real_295	6910	126878	0.21428571428571427
real_295	6908	126878	0.21428571428571427
real_295	6912	126878	0.21428571428571427
real_295	6179	126879	0.7894736842105263
real_295	3646	126879	0.47619047619047616
real_295	5022	126879	0.5238095238095238
real_295	6180	126880	0.75
real_295	6179	126880	0.2916666666666667
real_295	5020	126880	0.47058823529411764
real_295	6181	126881	0.875
real_295	5287	126881	0.875
real_295	35637	126881	0.875
real_295	6182	126882	0.875
real_295	48551	126882	0.34375
real_295	6183	126883	0.875
real_295	5289	126883	0.875
real_295	6184	126884	0.875
real_295	5290	126884	0.875
real_295	6185	126885	0.875
real_295	35639	126885	0.875
real_295	48550	126885	0.34375
real_295	6186	126886	0.875
real_295	5292	126886	0.875
real_295	6187	126887	0.875
real_295	5293	126887	0.875
real_295	35640	126887	0.875
real_295	6188	126888	0.875
real_295	5294	126888	0.875
real_295	35641	126888	0.875
real_295	6189	126889	0.875
real_295	5295	126889	0.875
real_295	35642	126889	0.875
real_295	6190	126890	0.875
real_295	5296	126890	0.875
real_295	35643	126890	0.875
real_295	5297	126891	0.875
real_295	6191	126891	0.875
real_295	5297	126891	0.875
real_295	38612	126891	0.8181818181818182
real_295	25272	126891	0.875
real_295	6192	126892	0.875
real_295	5298	126892	0.875
real_295	35644	126892	0.875
real_295	6193	126893	0.875
real_295	5299	126893	0.875
real_295	35645	126893	0.875
real_295	6194	126894	0.875
real_295	5300	126894	0.875
real_295	35646	126894	0.875
real_295	6195	126895	0.875
real_295	25273	126895	0.8181818181818182
real_295	35647	126895	0.875
real_295	5301	126895	0.875
real_295	11767	126895	0.7878787878787878
real_295	6196	126896	0.875
real_295	5302	126896	0.875
