recall;bm25;e5;e5_hybrid;bge_m3_hybrid
0.389831000;0.271186;0.211913;0.694203;0.693820
0.390890000;0.271186;0.211913;0.694203;0.693820
0.391949000;0.271186;0.211913;0.694203;0.693820
0.393008000;0.271186;0.211517;0.694203;0.693820
0.394068000;0.271186;0.211484;0.694203;0.693820
0.395127000;0.271186;0.207453;0.694203;0.693820
0.396186000;0.271186;0.206630;0.694203;0.693820
0.397246000;0.271186;0.204780;0.694203;0.693820
0.398305000;0.271186;0.204780;0.694203;0.693820
0.399364000;0.271186;0.204780;0.694203;0.693820
0.400424000;0.271186;0.203873;0.694203;0.693820
0.401483000;0.271186;0.203873;0.694203;0.693820
0.402542000;0.271186;0.202235;0.694203;0.693820
0.403602000;0.271186;0.199686;0.694203;0.693820
0.404661000;0.271186;0.199166;0.694203;0.693820
0.405720000;0.271186;0.198138;0.694203;0.693820
0.406780000;0.271186;0.195719;0.694203;0.693820
0.407839000;0.270877;0.192789;0.694203;0.693820
0.408898000;0.270877;0.190547;0.694203;0.693820
0.409958000;0.269124;0.190547;0.694203;0.693820
0.411017000;0.244693;0.189176;0.694203;0.693820
0.412076000;0.244693;0.188835;0.694203;0.693820
0.413136000;0.244693;0.188825;0.694203;0.693820
0.414195000;0.244693;0.188825;0.694203;0.693820
0.415254000;0.244693;0.188825;0.694203;0.693820
0.416314000;0.244693;0.186787;0.694203;0.693820
0.417373000;0.244693;0.180238;0.694203;0.693820
0.418432000;0.244693;0.180000;0.694203;0.693820
0.419492000;0.244693;0.180000;0.694203;0.693820
0.420551000;0.244693;0.178668;0.694203;0.693820
0.421610000;0.244693;0.178412;0.694203;0.693820
0.422669000;0.244693;0.178412;0.694203;0.693820
0.423729000;0.244693;0.178412;0.694203;0.693820
0.424788000;0.244693;0.178004;0.694203;0.693820
0.425847000;0.244693;0.178004;0.694203;0.693820
0.426907000;0.244693;0.178004;0.694203;0.693820
0.427966000;0.244693;0.177895;0.694203;0.693820
0.429025000;0.244693;0.176599;0.694203;0.693820
0.430085000;0.244693;0.176599;0.694203;0.693820
0.431144000;0.244693;0.176496;0.694203;0.693820
0.432203000;0.244693;0.174210;0.694203;0.693820
0.433263000;0.244693;0.173452;0.694203;0.693820
0.434322000;0.244693;0.172850;0.694203;0.693820
0.435381000;0.244693;0.172834;0.694203;0.693820
0.436441000;0.244693;0.171738;0.694203;0.693820
0.437500000;0.244693;0.171726;0.694203;0.693820
0.438559000;0.244693;0.171642;0.694203;0.693820
0.439619000;0.244693;0.169788;0.694203;0.693820
0.441737000;0.242525;0.169788;0.694203;0.693820
0.442797000;0.242525;0.167602;0.694203;0.693820
0.443856000;0.242525;0.166799;0.694203;0.693820
0.444915000;0.242525;0.164839;0.694203;0.693820
0.445975000;0.242525;0.164839;0.694203;0.693820
0.447034000;0.242525;0.164463;0.694203;0.693820
0.448093000;0.242525;0.164463;0.694203;0.693820
0.449153000;0.242525;0.163014;0.694203;0.693820
0.450212000;0.242525;0.162898;0.694203;0.693820
0.451271000;0.242525;0.162533;0.694203;0.693820
0.452331000;0.242525;0.161826;0.694203;0.693820
0.453390000;0.242525;0.161826;0.694203;0.693820
0.454449000;0.242525;0.161826;0.694203;0.693820
0.455508000;0.242525;0.159851;0.694203;0.693820
0.456568000;0.242525;0.158474;0.694203;0.693820
0.457627000;0.242525;0.158474;0.694203;0.693820
0.458686000;0.242525;0.156497;0.694203;0.693820
0.459746000;0.242525;0.156497;0.694203;0.693820
0.461864000;0.242525;0.156497;0.694203;0.693820
0.462924000;0.242525;0.156448;0.694203;0.693820
0.463983000;0.242525;0.156448;0.694203;0.693820
0.465042000;0.241776;0.156448;0.694203;0.693820
0.466102000;0.241776;0.156448;0.694203;0.693820
0.467161000;0.241776;0.156448;0.694203;0.693820
0.468220000;0.238453;0.156448;0.694203;0.693820
0.469280000;0.238453;0.156448;0.694203;0.693820
0.470339000;0.238453;0.156448;0.694203;0.693820
0.471398000;0.236690;0.155424;0.694203;0.693820
0.472458000;0.236690;0.155424;0.694203;0.693820
0.473517000;0.236690;0.155424;0.694203;0.693820
0.474576000;0.236690;0.154561;0.694203;0.693820
0.475636000;0.236690;0.154561;0.694203;0.693820
0.476695000;0.236469;0.154480;0.694203;0.693820
0.477754000;0.234868;0.152240;0.694203;0.693820
0.478814000;0.234868;0.152240;0.694203;0.693820
0.479873000;0.234868;0.149950;0.694203;0.693820
0.480932000;0.234868;0.144724;0.694203;0.693820
0.481992000;0.232143;0.144616;0.694203;0.693820
0.483051000;0.216581;0.144616;0.694203;0.693820
0.484110000;0.216581;0.144616;0.694203;0.693820
0.485169000;0.216581;0.144616;0.694203;0.693820
0.486229000;0.216581;0.142326;0.694203;0.693820
