recall;bm25;e5;e5_hybrid;bge_m3;bge_m3_hybrid
0.318653000;0.149165;0.097994;0.534351;0.098526;0.547988
0.321244000;0.149165;0.097994;0.534351;0.098526;0.547988
0.323834000;0.149165;0.097994;0.534351;0.098526;0.547988
0.326425000;0.138298;0.097994;0.534351;0.098526;0.547988
0.329016000;0.138298;0.097994;0.534351;0.098526;0.547988
0.331606000;0.138298;0.097561;0.534351;0.096823;0.547988
0.334197000;0.138298;0.093818;0.534351;0.096702;0.547988
0.336788000;0.138298;0.091549;0.534351;0.094271;0.547988
0.339378000;0.133400;0.090411;0.534351;0.094245;0.547988
0.341969000;0.133400;0.090411;0.534351;0.093484;0.547988
0.344560000;0.133400;0.088000;0.534351;0.091283;0.547988
0.347150000;0.108477;0.088000;0.534351;0.089592;0.547988
0.349741000;0.108477;0.088000;0.534351;0.089592;0.547988
0.352332000;0.108477;0.088000;0.534351;0.089592;0.547988
0.354922000;0.108477;0.088000;0.534351;0.087954;0.547988
0.357513000;0.108477;0.088000;0.534351;0.087954;0.547988
0.360104000;0.108477;0.088000;0.534351;0.087531;0.547988
0.362694000;0.108477;0.088000;0.534351;0.087530;0.547988
0.365285000;0.108477;0.088000;0.523392;0.087530;0.547988
0.367876000;0.108477;0.088000;0.523392;0.087530;0.547988
0.370466000;0.108477;0.088000;0.523392;0.087530;0.547988
0.373057000;0.108477;0.088000;0.523392;0.087530;0.547988
0.375648000;0.108477;0.088000;0.523392;0.087530;0.547988
0.378238000;0.108477;0.088000;0.523392;0.087530;0.547988
0.380829000;0.108477;0.088000;0.523392;0.085664;0.547988
0.383420000;0.108477;0.088000;0.523392;0.082867;0.547988
0.386010000;0.108477;0.088000;0.523392;0.082192;0.547988
0.388601000;0.108477;0.088000;0.523392;0.082192;0.547988
0.391192000;0.108477;0.088000;0.523392;0.082192;0.547988
0.393782000;0.092747;0.088000;0.523392;0.082192;0.547988
0.396373000;0.092747;0.088000;0.523392;0.082192;0.547988
0.398964000;0.092747;0.088000;0.523392;0.082192;0.547988
0.401554000;0.092747;0.086689;0.523392;0.082192;0.547988
0.404145000;0.092747;0.084416;0.523392;0.082192;0.547988
0.406736000;0.089205;0.082588;0.523392;0.081993;0.547988
0.409326000;0.086393;0.080793;0.523392;0.081993;0.547988
0.411917000;0.086393;0.080793;0.523392;0.081851;0.547988
0.414508000;0.086393;0.080442;0.523392;0.081851;0.547988
0.417098000;0.086004;0.080380;0.523392;0.081851;0.547988
0.419689000;0.085987;0.080380;0.523392;0.081489;0.547988
0.422280000;0.085714;0.080380;0.523392;0.078489;0.547988
0.424870000;0.085714;0.080380;0.523392;0.078489;0.547988
0.427461000;0.085714;0.080380;0.523392;0.078489;0.547988
0.430052000;0.084754;0.080380;0.523392;0.078489;0.547988
0.432642000;0.084754;0.080380;0.523392;0.078489;0.547988
0.435233000;0.084754;0.080380;0.523392;0.078489;0.547988
0.437824000;0.084754;0.080380;0.523392;0.078489;0.547988
0.440415000;0.084754;0.080380;0.523392;0.078489;0.547988
0.443005000;0.084754;0.080380;0.523392;0.078489;0.547988
0.445596000;0.084754;0.080380;0.523392;0.078489;0.547988
0.448187000;0.084754;0.080380;0.523392;0.078489;0.547988
0.450777000;0.084754;0.080380;0.523392;0.078489;0.547988
0.453368000;0.081619;0.080380;0.523392;0.078489;0.547988
0.455959000;0.081619;0.080380;0.523392;0.078489;0.547988
0.458549000;0.081619;0.080380;0.523392;0.078489;0.547988
0.461140000;0.081619;0.080380;0.523392;0.078489;0.545455
0.463731000;0.081619;0.080380;0.523392;0.078489;0.545455
0.466321000;0.081619;0.080380;0.482838;0.078489;0.545455
0.468912000;0.081619;0.080380;0.482838;0.078489;0.545455
