recall;bge_m3
0.919492000;0.057948
0.920551000;0.057802
0.921610000;0.057639
0.922669000;0.057085
0.923729000;0.056882
0.924788000;0.056751
0.925847000;0.056713
0.926907000;0.056601
0.927966000;0.055974
0.929025000;0.055974
0.930085000;0.055520
0.931144000;0.055391
0.932203000;0.054829
0.933263000;0.053825
0.935381000;0.053090
0.936441000;0.052305
0.937500000;0.051585
0.938559000;0.050230
0.939619000;0.050215
0.940678000;0.050107
0.941737000;0.049681
0.942797000;0.049621
0.943856000;0.049591
0.944915000;0.049446
0.947034000;0.049086
0.948093000;0.047884
0.949153000;0.047769
0.950212000;0.047576
0.951271000;0.047345
0.952331000;0.047331
0.953390000;0.046978
0.954449000;0.046706
0.955508000;0.046473
0.956568000;0.046241
0.957627000;0.045991
0.958686000;0.044213
0.959746000;0.040281
0.960805000;0.039598
0.961864000;0.037966
0.963983000;0.037819
0.965042000;0.037818
0.966102000;0.036136
0.967161000;0.033714
0.970339000;0.032649
0.971398000;0.032472
0.972458000;0.031303
0.973517000;0.030830
0.974576000;0.030792
0.977754000;0.029358
0.978814000;0.029174
0.979873000;0.026589
0.980932000;0.025203
0.983051000;0.023006
0.984110000;0.022692
0.985169000;0.020865
0.986229000;0.019464
0.987288000;0.017602
0.988347000;0.017392
0.989407000;0.016823
0.990466000;0.014137
0.991525000;0.013610
0.992585000;0.013163
0.995763000;0.011784
0.996822000;0.011648
0.998941000;0.011383
1.000000000;0.000000
